height_cm,weight_kg,age,years_active,training_hours_per_week,civilian_casualties_past_year,power_level,public_approval_rating,super_strength,flight,energy_projection,telepathy,healing_factor,shape_shifting,invisibility,telekinesis,is_good
189.9,81.9,33,10,32.6,2,28.4,62.9,0,1,0,1,0,0,1,1,1
177.2,73.6,58,22,41.9,2,67.3,41.4,0,0,0,0,0,0,1,0,1
193,81.8,47,6,22.3,0,95.9,96.8,0,1,0,0,0,1,1,0,0
210.5,88.1,62,26,25,4,71.8,53.2,1,0,0,1,0,0,0,0,1
175.3,80.7,43,28,24.9,3,81.3,36.1,0,0,0,1,1,1,1,1,0
175.3,80.6,40,14,22,1,71.5,77.8,0,0,0,0,1,1,0,1,0
211.6,69.5,23,5,26.5,2,60,99.9,0,0,1,0,0,0,0,1,0
195.3,70.1,41,19,37.7,0,36.4,78.3,0,0,0,0,0,0,0,0,1
170.6,59,59,26,19.5,0,73.1,69.1,0,0,0,0,0,0,1,0,0
190.9,106.2,38,8,34.3,0,58.4,73.2,0,0,1,0,0,1,0,1,1
170.7,61.3,53,21,13,0,58,93.3,0,0,1,0,0,0,0,0,0
170.7,69.6,43,19,24.4,1,62.5,47.5,0,1,1,0,0,0,0,1,1
184.8,69.2,41,11,26.7,1,96.2,62.8,1,0,0,0,1,0,0,0,0
150,93.4,27,18,46.7,1,100,55.9,0,0,0,0,0,1,0,0,0
150,75.6,46,19,27.3,1,73.3,41.6,1,0,0,0,0,1,1,1,1
168.8,98.7,18,2,8,1,63,58.4,0,0,1,0,0,0,1,0,1
159.7,69.9,39,14,10,0,52.3,87.2,0,0,1,0,1,0,1,1,1
186.3,84.2,20,1,30.3,2,77,76.3,1,1,0,0,0,0,0,0,1
161.8,67.5,61,29,36.1,1,96.7,77.9,0,1,0,0,1,0,0,1,1
151.8,112.2,55,20,33.8,1,66.3,67.9,1,0,1,1,1,1,0,0,0
209.3,62.2,40,1,31.7,4,34.3,75.5,1,0,0,0,1,1,0,1,1
175.5,84.6,59,21,41.6,3,80.1,49,0,0,0,1,1,1,0,0,1
181.4,89.5,28,2,24.6,4,84.8,58.8,0,1,0,0,0,0,1,0,1
151.5,86.2,55,5,38.9,1,46.2,68.8,0,0,0,0,0,0,0,0,1
